student_id,age,gender,year_of_study,gpa,academic_consistency,programming_skill_score,problem_solving_score,digital_skill_score,communication_skill_score,teamwork_score,leadership_score,adaptability_score,learning_motivation_score,internship_count,internship_duration_months,project_count,project_portfolio_score,industry_alignment_score,workshops_attended,online_courses_completed,networking_events_attended,career_clarity_score,market_awareness_score,higher_study_interest,target_industry,career_goal_alignment_score,interview_readiness_score,resume_quality_score,employment_competitiveness_score,employment_competitiveness_level
STU0297,23,Male,3,6.76,78.48,43.03,66.13,63.43,41.36,61.3,77.26,75.01,81.28,1,5,10,68.0,54.19,6,4,5,66.71,85.21,Yes,Consulting,66.33,57.05,61.9,28.15,Low
STU0298,24,Female,3,5.51,56.35,69.71,71.23,65.5,67.13,72.72,63.18,64.04,55.72,3,6,6,73.72,60.48,4,6,3,87.91,70.12,Yes,Research,76.93,69.33,66.68,46.0,Medium
STU0299,22,Male,4,7.22,73.93,84.58,65.38,90.89,73.21,64.66,66.69,77.43,75.4,2,8,9,90.12,65.05,6,2,6,45.12,76.3,No,Finance,52.36,59.92,67.82,55.92,Medium
STU0300,25,Male,2,8.28,74.49,67.57,79.53,66.62,55.37,71.77,93.02,68.81,64.4,2,10,5,73.11,68.24,5,3,4,63.12,60.23,Yes,Finance,69.76,64.16,70.12,52.39,Medium
STU0301,18,Male,4,6.11,61.32,79.48,67.67,71.13,55.85,58.74,79.85,83.11,78.79,1,6,3,62.71,59.46,10,7,4,70.28,64.14,Undecided,Research,56.49,51.18,57.02,43.97,Medium
STU0302,18,Male,3,9.02,94.64,74.57,78.82,77.77,77.3,73.22,52.88,56.43,76.32,4,11,6,71.57,66.61,8,0,6,60.16,68.52,No,Healthcare,58.59,66.49,64.96,68.12,Medium
STU0303,20,Male,1,7.81,89.36,74.44,100.0,62.31,77.32,81.66,80.56,100.0,76.16,3,8,6,82.85,94.23,6,5,2,62.13,62.81,Yes,Finance,67.18,65.54,79.65,55.32,Medium
STU0304,23,Female,3,8.44,78.21,66.47,74.7,78.77,68.21,64.28,67.56,82.27,77.78,1,6,3,49.53,29.92,4,5,4,76.1,59.12,Yes,Finance,75.56,65.44,35.96,41.29,Medium
STU0305,19,Male,4,6.41,65.13,54.18,59.09,51.24,80.14,70.37,82.58,51.79,55.69,2,8,4,63.47,63.68,5,4,5,72.0,73.75,No,Manufacturing,59.14,71.35,62.96,20.0,Low
STU0306,22,Female,2,8.23,83.01,55.42,51.35,51.98,54.74,70.55,57.44,63.49,74.46,4,19,7,90.89,86.91,13,2,1,84.22,55.36,No,Research,74.89,64.9,94.75,52.57,Medium
STU0307,21,Female,4,5.89,53.24,79.22,80.4,66.47,65.37,60.84,55.56,81.79,60.44,2,7,1,60.45,63.81,9,5,2,78.31,84.92,Undecided,Finance,84.47,76.4,54.58,38.32,Low
STU0308,19,Male,4,8.27,88.57,70.25,66.85,78.23,91.42,77.29,69.79,86.12,82.08,0,1,3,56.34,56.33,4,6,5,85.53,69.61,Undecided,Research,66.08,83.77,57.73,45.44,Medium
STU0309,25,Male,2,7.41,71.62,68.2,62.73,63.34,70.89,77.46,65.97,56.73,73.84,2,8,2,45.72,24.79,5,4,4,60.3,72.75,No,Manufacturing,55.05,62.08,52.83,33.67,Low
STU0310,23,Male,4,7.86,79.37,64.49,69.15,53.99,71.64,92.78,88.17,80.56,76.47,1,5,4,70.05,51.28,2,6,6,100.0,76.39,No,Education,86.81,68.3,45.55,55.85,Medium
STU0311,25,Female,1,5.79,58.95,66.03,76.68,62.26,99.98,91.05,70.69,48.63,56.7,2,8,4,53.32,59.84,9,8,5,44.82,73.34,No,Information Technology,64.12,86.25,59.78,30.95,Low
STU0312,24,Male,2,6.13,59.64,83.61,79.68,77.67,51.81,68.04,57.3,70.93,68.98,4,10,7,84.31,99.75,5,4,5,82.06,68.98,No,Manufacturing,72.81,70.69,95.6,74.37,High
STU0313,21,Female,1,7.92,81.23,65.64,71.71,56.29,80.35,81.47,55.13,85.34,85.31,2,4,8,88.77,66.69,4,4,3,54.77,59.63,Undecided,Government,61.97,79.08,66.53,53.87,Medium
STU0314,24,Male,4,6.06,63.03,52.57,63.18,49.4,91.63,70.5,87.67,65.38,56.71,2,8,3,45.33,53.21,4,6,9,45.41,66.47,No,Consulting,58.75,73.96,49.8,30.6,Low
STU0315,20,Female,3,7.76,77.24,79.67,73.08,96.93,65.78,70.76,84.46,53.92,70.56,4,9,5,64.37,82.0,8,11,5,95.06,75.32,No,Finance,98.13,83.61,69.12,73.28,High
STU0316,25,Male,1,5.56,54.94,67.34,65.65,60.43,81.18,76.23,71.05,73.75,78.21,3,8,2,43.03,48.12,7,6,2,64.43,46.87,Yes,Research,44.72,57.23,58.91,19.63,Low
STU0317,20,Male,2,8.22,86.22,70.41,77.45,67.5,57.23,68.97,62.87,64.74,79.76,2,6,5,82.4,70.18,7,10,6,50.87,57.54,Undecided,Education,54.74,49.11,57.3,42.75,Medium
STU0318,18,Female,3,5.72,73.06,90.9,89.23,78.32,61.07,68.65,72.73,79.55,74.96,1,6,5,90.4,66.11,4,4,2,63.95,64.89,No,Information Technology,63.76,59.61,58.06,34.75,Low
STU0319,24,Female,1,7.86,81.72,69.73,82.72,66.14,75.0,77.55,91.59,61.38,77.77,3,12,10,100.0,76.91,2,3,1,59.78,63.39,No,Information Technology,52.1,68.4,74.25,52.04,Medium
STU0320,23,Male,4,7.95,88.52,73.76,83.13,78.78,80.38,73.06,78.57,62.73,78.87,3,13,4,80.36,80.17,8,9,3,67.58,53.28,Undecided,Research,66.56,65.61,60.96,66.3,Medium
STU0321,25,Female,4,6.36,57.51,54.67,56.83,71.55,84.57,78.64,68.3,47.75,66.24,2,7,4,54.07,80.2,4,12,4,65.08,59.24,Undecided,Education,61.08,78.05,50.99,32.04,Low
STU0322,22,Male,3,7.9,82.2,67.14,79.92,65.87,90.41,68.41,55.12,74.04,57.77,5,16,5,54.0,78.34,11,5,4,49.61,59.57,Yes,Education,51.92,76.08,68.59,61.89,Medium
STU0323,21,Female,4,7.51,69.91,77.92,73.8,62.49,69.12,67.9,55.66,70.07,56.51,4,15,4,80.9,59.01,2,4,1,70.95,62.65,Yes,Information Technology,60.09,73.7,72.27,54.6,Medium
STU0324,19,Female,2,6.55,58.61,49.78,49.26,72.12,85.52,92.39,82.6,57.74,71.88,3,8,4,64.86,60.23,2,6,2,69.8,67.26,Undecided,Research,70.64,79.19,76.73,45.32,Medium
STU0325,23,Male,4,5.99,58.73,72.61,65.0,70.98,65.55,72.69,61.97,74.33,54.31,2,6,4,72.2,80.67,2,4,2,94.35,82.44,No,Information Technology,89.71,78.15,78.15,60.14,Medium
STU0326,23,Male,3,4.84,61.9,71.31,69.43,88.52,81.73,76.57,77.57,84.32,75.57,2,4,2,46.64,53.26,5,5,6,91.69,82.45,Undecided,Finance,83.87,91.95,58.92,49.14,Medium
STU0327,20,Male,3,7.62,85.23,70.54,83.86,48.34,72.7,91.68,71.63,69.41,72.49,1,6,4,65.47,45.46,5,5,3,70.09,55.48,Yes,Consulting,72.33,78.4,72.01,55.25,Medium
STU0328,24,Female,1,5.32,59.58,83.48,71.95,79.87,75.79,60.5,55.42,75.22,59.45,1,6,5,75.49,68.74,5,3,5,76.91,78.87,No,Manufacturing,79.83,73.86,63.27,53.42,Medium
STU0329,25,Female,4,7.31,65.06,74.35,61.55,92.08,75.51,62.88,54.76,75.28,73.5,4,15,6,75.52,72.82,5,6,2,54.28,67.81,No,Manufacturing,75.83,62.1,83.34,54.84,Medium
STU0330,25,Male,2,6.88,70.55,89.21,80.29,77.53,49.14,79.24,86.77,57.55,68.77,2,4,6,74.42,67.12,9,2,5,79.89,57.16,Yes,Information Technology,63.32,68.33,63.79,70.04,High
STU0331,18,Male,1,8.01,84.2,57.08,71.06,61.14,55.39,65.39,75.4,96.68,100.0,4,17,6,54.77,59.59,3,6,6,100.0,86.7,Undecided,Information Technology,80.41,85.76,72.5,72.47,High
STU0332,18,Female,1,6.84,72.79,71.77,74.26,74.43,71.33,69.67,90.98,66.35,64.76,1,4,5,64.1,52.46,13,7,3,52.83,72.65,No,Government,68.43,81.26,51.2,36.52,Low
STU0333,21,Other,3,6.8,58.29,71.1,74.76,65.52,48.07,49.64,63.87,79.87,82.32,2,8,6,51.91,57.46,7,3,5,60.84,59.81,No,Consulting,61.4,60.2,42.93,41.57,Medium
STU0334,20,Female,3,8.08,76.49,56.1,75.17,59.73,80.81,80.84,71.34,81.23,79.31,3,12,3,51.33,62.52,8,5,2,73.68,71.76,Yes,Consulting,63.9,74.04,60.78,49.22,Medium
STU0335,23,Male,3,7.6,77.95,82.43,74.62,73.96,81.33,82.04,92.93,70.32,67.43,2,8,7,78.93,72.32,7,4,2,72.77,57.47,No,Healthcare,60.93,65.41,80.16,60.6,Medium
STU0336,25,Male,4,7.58,81.97,100.0,83.76,80.73,74.25,62.47,68.03,79.28,84.67,4,18,5,70.66,79.28,3,6,5,71.72,67.13,Undecided,Research,76.0,70.61,62.83,76.2,High
STU0337,22,Male,1,7.76,64.47,69.78,60.64,82.67,55.43,63.54,66.75,74.95,75.14,5,22,4,67.63,71.87,9,5,5,59.71,57.09,Undecided,Information Technology,68.48,53.05,70.09,61.06,Medium
STU0338,20,Female,4,5.36,57.11,76.57,75.04,78.72,87.94,76.22,76.15,54.99,61.81,0,2,4,64.05,67.48,2,3,6,48.97,70.37,Undecided,Manufacturing,67.06,65.0,58.01,27.11,Low
STU0339,21,Male,1,8.11,83.99,71.1,87.98,73.61,96.48,85.98,46.85,68.01,77.2,1,4,8,82.72,62.52,7,6,3,57.15,68.66,Yes,Research,65.44,82.39,69.1,50.97,Medium
STU0340,21,Female,4,7.93,87.32,60.72,70.37,73.48,71.91,61.17,86.64,64.65,69.58,1,5,4,72.38,46.45,8,4,8,82.45,84.05,Yes,Finance,79.91,73.34,64.95,43.48,Medium
STU0341,20,Male,4,5.98,68.67,46.33,57.95,54.84,76.64,87.01,83.51,66.46,61.54,3,13,4,53.65,42.24,4,11,4,100.0,83.94,No,Healthcare,88.1,82.3,66.8,55.33,Medium
STU0342,21,Female,3,6.91,76.27,60.82,80.8,57.71,72.62,81.84,78.76,56.35,75.43,2,6,3,59.92,61.72,8,5,2,78.06,73.56,Undecided,Manufacturing,77.66,82.82,61.35,53.78,Medium
STU0343,20,Female,3,7.15,68.75,51.9,66.46,54.52,76.89,70.97,71.32,85.52,72.7,3,9,6,59.5,57.54,0,10,5,64.94,81.33,No,Finance,73.88,60.73,54.26,52.84,Medium
STU0344,19,Female,2,7.04,60.0,92.15,80.96,82.7,68.45,68.64,71.1,91.22,72.65,2,10,3,69.3,70.45,4,4,4,82.41,66.09,Yes,Consulting,68.35,65.48,74.17,44.41,Medium
STU0345,20,Male,3,7.6,75.65,68.5,62.78,59.08,69.55,69.93,62.7,83.74,79.12,3,13,4,63.15,68.74,4,9,2,49.65,31.07,No,Consulting,55.33,61.27,61.21,46.52,Medium
STU0346,24,Male,4,8.92,97.29,65.5,83.96,63.02,81.77,69.01,79.99,87.25,87.61,3,6,3,58.67,100.0,5,4,6,69.53,67.25,No,Healthcare,70.15,70.6,66.89,63.36,Medium
STU0347,20,Male,3,8.5,96.25,81.56,77.96,71.7,100.0,80.57,65.51,67.86,66.18,2,4,4,58.75,47.89,8,6,6,61.06,64.36,Yes,Healthcare,49.51,75.0,70.47,49.75,Medium
STU0348,21,Female,2,5.63,65.64,55.42,53.84,83.73,51.8,60.61,64.4,64.36,78.86,2,8,3,45.36,65.72,3,5,2,65.75,70.23,Yes,Healthcare,60.4,63.16,55.45,15.05,Low
STU0349,25,Female,3,7.95,84.56,60.03,68.84,37.28,68.65,87.02,82.36,62.66,74.48,0,2,3,53.24,35.4,3,5,3,61.53,40.01,Yes,Healthcare,53.79,59.87,46.86,25.55,Low
STU0350,24,Female,4,8.79,91.77,70.88,74.33,69.19,54.65,74.06,65.2,79.73,79.21,2,8,4,75.45,75.49,7,4,4,53.35,64.37,Yes,Healthcare,63.01,46.22,76.96,49.62,Medium
STU0351,21,Female,2,7.66,75.05,83.37,77.01,95.11,90.7,90.16,86.68,74.72,77.56,2,7,2,47.66,70.3,5,3,4,95.5,89.86,Yes,Healthcare,89.48,84.4,60.64,72.08,High
STU0352,18,Female,1,8.51,85.68,76.52,67.89,75.3,62.36,71.76,56.81,71.07,78.44,2,8,9,100.0,73.56,5,8,5,60.66,66.37,Yes,Education,60.66,54.34,77.17,56.11,Medium
STU0353,18,Male,3,9.61,100.0,73.23,90.62,79.81,51.24,51.88,47.38,87.54,93.17,4,16,2,49.98,61.7,7,12,6,60.6,73.9,No,Consulting,76.77,65.62,79.24,73.58,High
STU0354,25,Female,4,8.43,79.27,71.02,83.72,72.06,78.3,74.82,76.6,76.86,80.64,4,16,5,70.52,75.64,12,9,4,69.13,60.11,Yes,Finance,72.4,62.3,68.32,68.54,Medium
STU0355,25,Male,1,7.5,88.8,75.2,64.34,66.69,92.68,91.41,91.31,61.94,81.12,4,17,5,79.34,73.31,7,5,4,73.11,75.79,No,Research,74.18,72.17,79.33,62.25,Medium
STU0356,24,Male,2,8.45,83.8,72.62,84.84,49.52,78.63,62.8,47.14,63.83,85.64,2,9,7,77.57,84.13,4,5,2,94.22,71.08,Yes,Manufacturing,71.33,71.66,75.42,65.22,Medium
STU0357,19,Female,1,7.37,85.61,56.61,63.95,65.19,72.66,79.06,80.1,80.18,86.97,3,15,5,62.86,66.17,6,0,3,72.56,60.73,Yes,Research,66.77,74.4,49.98,50.94,Medium
STU0358,25,Male,2,7.23,65.22,70.6,76.45,63.07,75.32,97.12,74.3,84.5,71.73,2,5,7,91.28,77.91,9,3,4,78.31,70.99,Undecided,Information Technology,72.45,70.08,69.17,58.66,Medium
STU0359,18,Male,3,6.78,75.12,56.04,65.96,54.82,88.39,90.39,79.42,78.62,64.77,1,5,5,73.39,65.04,3,4,3,42.31,64.2,Undecided,Manufacturing,44.74,76.76,52.13,34.42,Low
STU0360,20,Female,4,9.08,86.56,71.05,77.5,66.09,58.64,80.53,54.77,94.76,98.73,2,9,3,65.47,72.11,4,5,0,74.57,60.0,No,Education,73.2,69.37,72.84,54.8,Medium
STU0361,21,Male,3,6.22,56.07,63.75,61.83,84.51,68.55,73.03,60.48,91.62,69.97,0,0,2,51.14,40.94,6,6,1,58.61,55.85,No,Education,62.24,69.93,46.35,29.21,Low
STU0362,18,Female,3,9.04,92.89,100.0,100.0,100.0,64.12,78.53,83.11,77.29,76.44,2,6,5,79.39,76.43,5,9,3,58.88,61.14,Yes,Government,56.11,60.51,69.63,74.81,High
STU0363,18,Male,2,7.8,87.27,69.48,66.89,72.39,54.82,57.49,62.22,61.94,58.5,2,10,7,70.74,78.31,5,6,2,52.17,59.97,Undecided,Research,61.2,49.59,66.99,31.17,Low
STU0364,19,Male,4,5.52,53.77,51.74,61.97,55.81,65.73,77.54,66.98,56.28,63.75,5,13,6,65.84,79.78,8,4,0,64.96,59.81,Yes,Healthcare,72.01,62.59,88.59,51.92,Medium
STU0365,24,Male,3,7.64,68.27,68.26,78.42,57.77,84.4,84.52,77.28,67.35,70.44,1,6,4,64.43,43.44,4,6,4,75.75,71.46,Yes,Research,77.67,59.57,53.28,44.22,Medium
STU0366,24,Male,4,4.68,51.48,76.75,73.29,78.9,77.37,77.72,80.42,81.04,53.69,4,18,7,81.59,95.32,5,5,2,76.48,53.57,No,Education,64.07,74.15,86.71,49.31,Medium
STU0367,23,Female,3,7.95,80.94,91.75,100.0,100.0,78.38,88.43,83.83,93.92,85.58,1,5,4,74.48,62.53,6,6,6,72.98,71.08,Yes,Manufacturing,89.5,75.41,55.46,79.67,High
STU0368,19,Male,1,8.26,88.18,62.34,69.68,63.81,71.9,66.97,68.51,77.01,74.48,1,4,6,80.71,63.33,6,9,2,60.65,72.86,No,Education,70.85,64.49,71.09,52.46,Medium
STU0369,20,Female,3,6.49,75.06,49.43,71.17,35.4,76.8,72.69,85.76,86.02,100.0,2,6,4,45.21,61.85,9,8,3,59.13,67.47,Yes,Manufacturing,60.84,65.92,65.42,42.49,Medium
STU0370,24,Male,2,7.35,75.73,80.62,76.94,83.04,59.59,67.77,78.26,69.06,67.1,3,6,7,78.15,88.55,7,8,3,63.74,75.37,Yes,Healthcare,81.47,71.52,64.52,64.3,Medium
STU0371,21,Female,3,9.54,100.0,52.05,83.29,70.48,65.98,59.39,70.24,79.47,79.92,0,1,5,72.37,51.73,5,3,3,71.61,70.2,Undecided,Research,59.21,71.27,50.46,53.38,Medium
STU0372,25,Female,1,6.59,70.88,64.33,68.69,51.52,72.5,74.89,72.99,81.88,66.5,1,4,4,82.25,76.46,7,8,5,46.46,63.44,No,Healthcare,49.94,72.16,59.92,30.75,Low
STU0373,19,Female,1,5.93,60.95,66.65,63.22,70.42,73.61,55.94,73.87,48.24,72.31,2,10,4,54.74,59.62,10,4,3,66.14,78.55,Yes,Research,68.8,66.44,60.89,30.87,Low
STU0374,25,Male,4,8.98,79.54,69.09,84.38,74.51,74.16,83.84,79.66,67.04,69.6,2,8,7,74.18,72.91,4,5,7,64.42,67.13,Yes,Education,74.3,61.56,69.54,72.2,High
STU0375,18,Male,2,9.56,94.2,78.96,79.57,74.7,68.2,71.16,82.69,83.4,76.47,3,7,4,57.17,59.8,7,9,1,75.3,58.38,Yes,Consulting,64.68,69.96,69.01,60.53,Medium
STU0376,21,Male,4,7.2,72.45,61.11,56.56,57.7,65.09,64.08,77.5,75.29,79.31,2,5,6,55.1,56.5,5,3,2,100.0,91.36,Undecided,Research,91.09,84.07,53.19,38.55,Low
STU0377,21,Female,2,8.41,92.41,66.44,73.11,78.7,100.0,76.66,67.61,57.64,62.21,1,6,3,60.45,66.03,4,1,4,69.83,76.49,No,Information Technology,66.75,84.56,57.91,54.24,Medium
STU0378,18,Male,3,8.81,92.53,69.81,83.75,66.36,81.79,74.46,61.48,42.84,75.86,4,15,8,89.19,65.03,10,4,2,70.18,60.74,No,Healthcare,72.75,69.81,75.67,62.54,Medium
STU0379,19,Female,3,6.31,58.53,71.94,78.99,56.72,75.37,80.8,66.71,67.61,81.8,1,2,3,57.78,61.12,5,4,2,79.9,60.62,Yes,Finance,75.5,89.92,45.5,44.59,Medium
STU0380,18,Female,3,6.62,70.79,71.27,72.74,50.7,66.97,75.61,82.92,71.14,76.22,3,10,4,62.62,71.84,8,5,4,66.96,56.12,No,Finance,54.61,77.04,59.54,44.67,Medium
STU0381,25,Male,2,8.68,92.82,75.67,92.08,86.23,64.13,61.8,46.75,61.39,81.65,4,8,3,60.6,89.85,12,1,1,76.45,60.57,Yes,Government,70.27,62.43,61.01,60.68,Medium
STU0382,23,Female,2,9.22,100.0,80.97,75.57,82.7,68.3,62.27,71.61,73.72,89.95,5,11,6,73.79,94.58,6,5,2,89.61,79.59,No,Healthcare,84.95,72.03,95.87,76.19,High
STU0383,21,Male,1,7.88,87.13,75.1,75.74,74.18,73.81,79.78,78.73,78.08,94.31,2,6,6,75.94,69.14,8,0,6,65.61,48.23,No,Consulting,60.08,61.01,58.06,56.95,Medium
STU0384,22,Male,2,6.14,70.59,75.9,71.55,69.34,45.55,53.27,71.98,80.05,84.61,3,12,4,77.66,61.35,6,2,3,92.86,84.45,Undecided,Research,85.85,76.69,67.52,48.01,Medium
STU0385,22,Female,3,9.58,96.64,49.43,70.15,53.9,49.6,62.92,64.59,43.73,75.9,2,9,4,50.68,51.47,10,3,7,72.9,81.59,Undecided,Consulting,71.53,69.83,68.42,47.37,Medium
STU0386,25,Female,4,6.56,71.76,70.65,72.58,60.1,61.72,69.01,51.46,56.23,75.12,3,13,3,57.46,63.71,3,4,3,81.96,59.36,Yes,Education,78.47,71.5,60.79,35.41,Low
STU0387,20,Female,4,6.8,79.95,76.23,82.81,69.61,72.69,75.83,61.2,68.34,65.51,2,8,5,70.66,80.18,5,3,6,85.42,77.48,Undecided,Healthcare,75.21,74.98,76.07,57.43,Medium
STU0388,24,Male,4,7.61,69.16,79.48,71.41,54.51,66.89,78.68,58.08,78.87,79.85,2,8,4,63.28,70.32,6,6,6,89.85,73.39,Yes,Research,87.72,79.17,61.18,56.23,Medium
STU0389,18,Male,4,9.06,89.09,61.0,74.74,58.19,89.22,67.52,67.48,77.87,70.49,4,18,4,61.89,65.81,4,6,4,87.05,64.43,Yes,Education,76.71,82.52,73.27,66.1,Medium
STU0390,18,Female,3,8.22,78.57,61.43,69.78,62.68,50.73,43.72,53.79,77.66,72.49,0,2,4,41.5,45.63,2,3,5,90.88,79.72,Yes,Research,80.32,67.9,41.69,34.84,Low
STU0391,20,Female,2,7.7,81.95,62.54,64.42,72.5,60.23,61.43,50.57,67.4,46.16,4,15,3,61.47,69.0,10,3,3,72.57,71.79,No,Manufacturing,72.36,68.88,61.72,33.42,Low
STU0392,20,Female,4,7.76,88.45,76.97,79.68,73.93,89.76,98.41,100.0,68.07,79.99,4,9,5,64.16,68.21,5,2,5,59.46,73.51,No,Research,68.08,85.06,87.44,63.24,Medium
STU0393,25,Male,3,7.25,71.07,83.44,76.27,85.84,71.7,92.49,62.39,63.26,63.06,2,9,3,57.48,66.28,5,6,2,71.52,46.16,Yes,Information Technology,60.92,70.57,69.69,46.99,Medium
STU0394,25,Female,3,7.87,64.1,64.7,65.23,81.08,81.5,94.99,97.77,81.22,81.8,2,8,4,61.31,60.08,4,3,8,53.87,65.42,Yes,Research,59.48,63.3,59.63,53.3,Medium
STU0395,20,Male,1,4.16,44.55,81.8,67.66,87.57,96.67,81.57,94.94,60.95,62.39,2,9,7,72.51,54.36,7,3,6,65.05,75.98,Yes,Research,63.85,75.03,55.84,44.01,Medium
STU0396,21,Male,2,6.84,77.95,71.61,75.11,76.09,60.98,49.62,71.39,82.2,87.06,5,11,1,60.71,87.55,6,4,7,61.12,80.1,Undecided,Information Technology,80.61,70.25,73.14,56.89,Medium
STU0397,25,Female,3,7.49,81.17,68.38,70.72,69.73,68.71,47.49,53.47,74.49,66.0,0,3,5,62.34,51.46,4,7,1,47.59,56.18,No,Research,50.41,56.63,49.0,27.0,Low
STU0398,23,Male,4,5.82,65.38,67.25,78.33,59.18,66.46,63.77,71.04,71.46,78.67,3,14,5,89.6,75.18,6,3,4,83.81,83.15,Yes,Research,73.3,76.35,69.98,48.07,Medium
STU0399,25,Female,3,7.66,76.98,79.71,68.46,83.24,44.59,58.08,44.15,64.12,90.13,3,12,6,82.94,91.1,8,7,2,90.02,72.47,Undecided,Manufacturing,83.9,61.2,79.42,53.36,Medium
STU0400,18,Male,2,6.95,63.6,74.23,64.9,89.62,65.96,82.69,84.36,55.73,70.86,5,21,4,61.43,90.21,7,4,6,59.06,72.95,Yes,Manufacturing,53.9,70.65,91.05,65.06,Medium
STU0401,25,Male,4,9.31,97.4,99.59,100.0,90.2,81.45,85.33,77.34,64.23,85.47,4,8,3,67.41,77.18,5,3,3,79.6,60.51,No,Manufacturing,72.18,68.28,71.26,86.78,High
STU0402,21,Female,1,9.09,85.97,58.92,63.3,83.58,77.03,76.94,69.27,68.04,77.03,3,8,5,66.81,52.6,3,7,3,100.0,83.26,No,Information Technology,81.35,84.31,75.88,69.89,Medium
STU0403,20,Female,2,6.64,85.05,76.74,68.47,58.95,78.05,66.22,56.0,43.57,63.12,0,3,6,90.45,72.29,2,9,3,87.87,58.7,Yes,Research,78.18,72.27,56.38,39.34,Low
STU0404,18,Female,1,7.02,77.17,63.12,76.29,55.17,65.12,59.7,35.44,69.63,79.75,2,7,5,74.69,62.04,2,4,5,54.61,53.88,Yes,Research,57.09,60.15,74.15,36.76,Low
STU0405,25,Female,4,7.11,69.93,58.7,49.27,72.84,61.47,70.2,55.48,83.09,60.85,1,6,3,62.55,54.44,7,6,5,83.45,66.53,No,Healthcare,69.63,69.5,65.25,37.98,Low
STU0406,21,Female,4,6.66,65.66,69.86,67.54,73.07,86.5,85.9,93.04,78.81,67.86,4,14,8,82.01,78.78,6,5,2,67.44,79.38,Undecided,Research,71.92,84.11,88.72,70.78,High
STU0407,23,Female,2,7.43,76.22,71.79,91.15,84.62,63.53,72.51,64.43,66.05,55.55,3,10,7,75.59,60.28,10,6,3,83.08,66.5,No,Finance,78.72,68.99,73.24,68.54,Medium
STU0408,25,Female,4,6.29,64.93,100.0,70.37,86.85,73.82,62.87,66.43,72.56,63.16,3,10,6,90.1,83.57,2,4,6,100.0,86.48,No,Consulting,87.13,87.73,79.32,73.91,High
STU0409,21,Male,2,5.84,70.38,67.61,54.2,60.51,72.12,78.96,81.53,65.33,75.01,3,7,1,59.33,58.31,7,6,4,68.98,72.76,Undecided,Consulting,68.92,65.32,71.79,31.33,Low
STU0410,23,Male,4,7.95,82.85,55.31,56.89,60.28,89.0,84.31,100.0,73.79,80.68,2,9,2,48.25,60.31,8,5,1,91.17,74.21,No,Education,88.49,73.37,58.77,50.31,Medium
STU0411,20,Male,4,7.96,76.52,73.55,82.07,57.13,82.63,66.48,87.83,90.48,79.38,1,4,1,45.27,39.75,5,6,4,58.71,53.43,Yes,Finance,63.03,71.19,48.38,55.47,Medium
STU0412,25,Other,4,6.23,79.3,43.03,71.12,44.38,53.16,56.08,49.25,83.62,79.37,2,9,4,46.79,51.17,9,3,5,62.77,70.65,Undecided,Education,64.66,59.24,47.09,12.87,Low
STU0413,23,Female,1,8.27,84.78,68.8,71.53,79.56,54.56,71.44,43.33,78.25,61.18,1,3,1,35.69,48.93,10,6,3,40.36,45.43,No,Information Technology,49.63,44.72,39.48,24.34,Low
STU0414,18,Male,4,6.44,73.34,70.21,77.73,79.34,77.53,72.54,100.0,66.09,67.14,3,8,3,56.0,66.64,5,5,5,94.38,61.6,Yes,Research,76.79,70.75,69.48,67.81,Medium
STU0415,20,Female,4,7.5,73.24,80.33,87.9,79.81,69.16,87.01,100.0,81.0,68.8,1,5,6,76.08,67.65,5,4,4,45.09,75.77,Undecided,Healthcare,69.06,58.73,60.88,44.52,Medium
STU0416,18,Female,2,8.18,86.16,82.66,96.65,60.25,64.08,73.85,72.13,51.76,64.75,3,13,2,58.77,73.48,6,7,1,53.03,53.08,No,Research,45.51,61.38,73.89,45.61,Medium
STU0417,22,Male,4,7.16,76.62,63.45,68.4,63.31,83.2,72.57,58.95,68.97,77.9,3,14,7,81.54,88.94,4,3,4,73.4,66.72,Yes,Finance,75.22,72.83,86.32,54.84,Medium
STU0418,19,Female,2,7.75,66.52,68.04,50.49,57.17,72.44,72.5,83.04,79.0,64.24,2,8,8,80.06,69.02,2,6,4,100.0,88.68,Yes,Manufacturing,94.41,73.1,58.4,45.29,Medium
STU0419,25,Female,4,6.58,83.33,60.04,64.62,76.79,70.68,72.44,69.73,80.89,72.99,1,6,3,70.38,71.22,2,7,4,41.46,65.92,No,Manufacturing,51.59,58.37,57.16,38.46,Low
STU0420,23,Male,1,6.96,81.67,55.34,65.07,56.6,80.14,68.78,70.75,80.04,58.81,1,5,7,65.26,53.88,6,6,5,75.54,65.72,No,Manufacturing,65.65,69.57,50.77,39.92,Low
STU0421,19,Female,3,6.95,69.77,74.03,70.66,61.86,65.12,60.18,76.08,75.54,69.43,2,9,4,71.37,73.33,4,6,4,48.64,63.62,No,Government,67.24,54.53,79.89,49.97,Medium
STU0422,19,Male,3,6.3,58.98,53.44,58.19,61.69,90.39,87.69,85.3,69.65,56.75,3,9,5,53.95,75.82,5,7,7,95.16,88.21,Yes,Government,87.21,93.4,66.03,44.68,Medium
STU0423,23,Female,1,6.99,75.34,64.61,79.39,61.13,59.76,75.34,55.08,78.46,75.62,0,1,10,85.81,70.52,1,1,5,72.56,58.07,No,Government,78.03,63.1,66.16,40.57,Medium
STU0424,20,Female,2,5.34,58.67,57.06,71.41,78.22,78.54,81.38,72.22,60.57,55.15,4,9,6,72.22,63.3,3,3,1,93.33,62.99,Undecided,Consulting,71.93,90.98,67.16,46.22,Medium
